#p (bar)	T (K)
4.642e-01	1.100e+03
1.000e+00	1.100e+03
2.154e+00	1.100e+03
4.642e+00	1.100e+03
1.000e+01	1.100e+03
2.154e+01	1.100e+03
4.642e+01	1.100e+03
1.000e+02	1.100e+03
2.154e+02	1.100e+03
4.642e+02	1.100e+03
1.000e+03	1.100e+03
1.000e-08	1.150e+03
2.154e-08	1.150e+03
4.642e-08	1.150e+03
1.000e-07	1.150e+03
2.154e-07	1.150e+03
4.642e-07	1.150e+03
1.000e-06	1.150e+03
2.154e-06	1.150e+03
4.642e-06	1.150e+03
1.000e-05	1.150e+03
2.154e-05	1.150e+03
4.642e-05	1.150e+03
1.000e-04	1.150e+03
2.154e-04	1.150e+03
4.642e-04	1.150e+03
1.000e-03	1.150e+03
2.154e-03	1.150e+03
4.642e-03	1.150e+03
1.000e-02	1.150e+03
2.154e-02	1.150e+03
4.642e-02	1.150e+03
1.000e-01	1.150e+03
2.154e-01	1.150e+03
4.642e-01	1.150e+03
1.000e+00	1.150e+03
2.154e+00	1.150e+03
4.642e+00	1.150e+03
1.000e+01	1.150e+03
2.154e+01	1.150e+03
4.642e+01	1.150e+03
1.000e+02	1.150e+03
2.154e+02	1.150e+03
4.642e+02	1.150e+03
1.000e+03	1.150e+03
1.000e-08	1.200e+03
2.154e-08	1.200e+03
4.642e-08	1.200e+03
1.000e-07	1.200e+03
2.154e-07	1.200e+03
4.642e-07	1.200e+03
1.000e-06	1.200e+03
2.154e-06	1.200e+03
4.642e-06	1.200e+03
1.000e-05	1.200e+03
2.154e-05	1.200e+03
4.642e-05	1.200e+03
1.000e-04	1.200e+03
2.154e-04	1.200e+03
4.642e-04	1.200e+03
1.000e-03	1.200e+03
2.154e-03	1.200e+03
4.642e-03	1.200e+03
1.000e-02	1.200e+03
2.154e-02	1.200e+03
4.642e-02	1.200e+03
1.000e-01	1.200e+03
2.154e-01	1.200e+03
4.642e-01	1.200e+03
1.000e+00	1.200e+03
2.154e+00	1.200e+03
4.642e+00	1.200e+03
1.000e+01	1.200e+03
2.154e+01	1.200e+03
4.642e+01	1.200e+03
1.000e+02	1.200e+03
2.154e+02	1.200e+03
4.642e+02	1.200e+03
1.000e+03	1.200e+03
1.000e-08	1.250e+03
2.154e-08	1.250e+03
4.642e-08	1.250e+03
1.000e-07	1.250e+03
2.154e-07	1.250e+03
4.642e-07	1.250e+03
1.000e-06	1.250e+03
2.154e-06	1.250e+03
4.642e-06	1.250e+03
1.000e-05	1.250e+03
2.154e-05	1.250e+03
4.642e-05	1.250e+03
1.000e-04	1.250e+03
2.154e-04	1.250e+03
4.642e-04	1.250e+03
1.000e-03	1.250e+03
2.154e-03	1.250e+03
4.642e-03	1.250e+03
1.000e-02	1.250e+03
2.154e-02	1.250e+03
4.642e-02	1.250e+03
1.000e-01	1.250e+03
2.154e-01	1.250e+03
4.642e-01	1.250e+03
1.000e+00	1.250e+03
2.154e+00	1.250e+03
4.642e+00	1.250e+03
1.000e+01	1.250e+03
2.154e+01	1.250e+03
4.642e+01	1.250e+03
1.000e+02	1.250e+03
